label,file,algo,cid,service_type,node_id,local_step,wait_time,pull_time,deploy_delay,completion_time,run_time,reuse_mb,downloaded_mb
baseline,result_500.json,FG-DSCR,c022,default,edge-3,98,2704.5,0.0,2704.5,2727.5,23.0,6441,0
baseline,result_500.json,FG-DSCR,c431,default,edge-4,1,0.0,3049.0,3049.0,3089.0,40.0,0,30490
baseline,result_500.json,FG-DSCR,c341,default,edge-4,2,3089.0,0.0,3089.0,3129.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c101,default,edge-4,3,3129.0,0.0,3129.0,3169.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c491,default,edge-4,4,3169.0,0.0,3169.0,3209.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c371,default,edge-4,5,3209.0,0.0,3209.0,3249.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c311,default,edge-4,6,3249.0,0.0,3249.0,3289.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c281,default,edge-4,7,3289.0,0.0,3289.0,3329.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c221,default,edge-4,8,3329.0,0.0,3329.0,3369.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c461,default,edge-4,9,3369.0,0.0,3369.0,3409.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c191,default,edge-4,10,3409.0,0.0,3409.0,3449.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c401,default,edge-4,11,3449.0,0.0,3449.0,3489.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c041,default,edge-4,12,3489.0,0.0,3489.0,3529.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c251,default,edge-4,13,3529.0,0.0,3529.0,3569.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c071,default,edge-4,14,3569.0,0.0,3569.0,3609.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c131,default,edge-4,15,3609.0,0.0,3609.0,3649.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c011,default,edge-4,16,3649.0,0.0,3649.0,3689.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c161,default,edge-4,17,3689.0,0.0,3689.0,3729.0,40.0,30490,0
baseline,result_500.json,FG-DSCR,c282,default,edge-4,18,3729.0,940.0,4669.0,4712.0,43.0,23290,9400
baseline,result_500.json,FG-DSCR,c372,default,edge-4,19,4712.0,0.0,4712.0,4755.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c012,default,edge-4,20,4755.0,0.0,4755.0,4798.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c192,default,edge-4,21,4798.0,0.0,4798.0,4841.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c312,default,edge-4,22,4841.0,0.0,4841.0,4884.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c402,default,edge-4,23,4884.0,0.0,4884.0,4927.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c132,default,edge-4,24,4927.0,0.0,4927.0,4970.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c462,default,edge-4,25,4970.0,0.0,4970.0,5013.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c342,default,edge-4,26,5013.0,0.0,5013.0,5056.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c072,default,edge-4,27,5056.0,0.0,5056.0,5099.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c492,default,edge-4,28,5099.0,0.0,5099.0,5142.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c162,default,edge-4,29,5142.0,0.0,5142.0,5185.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c252,default,edge-4,30,5185.0,0.0,5185.0,5228.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c102,default,edge-4,31,5228.0,0.0,5228.0,5271.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c432,default,edge-4,32,5271.0,0.0,5271.0,5314.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c042,default,edge-4,33,5314.0,0.0,5314.0,5357.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c222,default,edge-4,34,5357.0,0.0,5357.0,5400.0,43.0,32690,0
baseline,result_500.json,FG-DSCR,c070,default,edge-4,35,5400.0,150.0,5550.0,5599.0,49.0,25090,1500
baseline,result_500.json,FG-DSCR,c490,default,edge-4,36,5599.0,0.0,5599.0,5648.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c220,default,edge-4,37,5648.0,0.0,5648.0,5697.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c430,default,edge-4,38,5697.0,0.0,5697.0,5746.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c160,default,edge-4,39,5746.0,0.0,5746.0,5795.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c310,default,edge-4,40,5795.0,0.0,5795.0,5844.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c460,default,edge-4,41,5844.0,0.0,5844.0,5893.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c250,default,edge-4,42,5893.0,0.0,5893.0,5942.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c400,default,edge-4,43,5942.0,0.0,5942.0,5991.0,49.0,26590,0
baseline,result_500.json,FG-DSCR,c217,default,edge-4,44,5991.0,962.0,6953.0,6993.0,40.0,20590,9620
baseline,result_500.json,FG-DSCR,c277,default,edge-4,45,6993.0,0.0,6993.0,7033.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c337,default,edge-4,46,7033.0,0.0,7033.0,7073.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c367,default,edge-4,47,7073.0,0.0,7073.0,7113.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c157,default,edge-4,48,7113.0,0.0,7113.0,7153.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c127,default,edge-4,49,7153.0,0.0,7153.0,7193.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c067,default,edge-4,50,7193.0,0.0,7193.0,7233.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c427,default,edge-4,51,7233.0,0.0,7233.0,7273.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c487,default,edge-4,52,7273.0,0.0,7273.0,7313.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c007,default,edge-4,53,7313.0,0.0,7313.0,7353.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c397,default,edge-4,54,7353.0,0.0,7353.0,7393.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c037,default,edge-4,55,7393.0,0.0,7393.0,7433.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c307,default,edge-4,56,7433.0,0.0,7433.0,7473.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c187,default,edge-4,57,7473.0,0.0,7473.0,7513.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c247,default,edge-4,58,7513.0,0.0,7513.0,7553.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c097,default,edge-4,59,7553.0,0.0,7553.0,7593.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c457,default,edge-4,60,7593.0,0.0,7593.0,7633.0,40.0,30210,0
baseline,result_500.json,FG-DSCR,c338,default,edge-4,61,7633.0,0.8,7633.8,7676.8,43.0,22610,8
baseline,result_500.json,FG-DSCR,c428,default,edge-4,62,7676.8,0.0,7676.8,7719.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c308,default,edge-4,63,7719.8,0.0,7719.8,7762.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c488,default,edge-4,64,7762.8,0.0,7762.8,7805.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c158,default,edge-4,65,7805.8,0.0,7805.8,7848.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c129,default,edge-4,66,7848.8,0.0,7848.8,7894.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c489,default,edge-4,67,7894.8,0.0,7894.8,7940.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c098,default,edge-4,68,7940.8,0.0,7940.8,7983.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c009,default,edge-4,69,7983.8,0.0,7983.8,8029.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c128,default,edge-4,70,8029.8,0.0,8029.8,8072.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c039,default,edge-4,71,8072.8,0.0,8072.8,8118.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c399,default,edge-4,72,8118.8,0.0,8118.8,8164.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c038,default,edge-4,73,8164.8,0.0,8164.8,8207.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c159,default,edge-4,74,8207.8,0.0,8207.8,8253.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c459,default,edge-4,75,8253.8,0.0,8253.8,8299.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c008,default,edge-4,76,8299.8,0.0,8299.8,8342.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c249,default,edge-4,77,8342.8,0.0,8342.8,8388.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c068,default,edge-4,78,8388.8,0.0,8388.8,8431.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c369,default,edge-4,79,8431.8,0.0,8431.8,8477.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c339,default,edge-4,80,8477.8,0.0,8477.8,8523.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c248,default,edge-4,81,8523.8,0.0,8523.8,8566.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c069,default,edge-4,82,8566.8,0.0,8566.8,8612.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c189,default,edge-4,83,8612.8,0.0,8612.8,8658.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c188,default,edge-4,84,8658.8,0.0,8658.8,8701.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c309,default,edge-4,85,8701.8,0.0,8701.8,8747.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c218,default,edge-4,86,8747.8,0.0,8747.8,8790.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c219,default,edge-4,87,8790.8,0.0,8790.8,8836.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c279,default,edge-4,88,8836.8,0.0,8836.8,8882.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c368,default,edge-4,89,8882.8,0.0,8882.8,8925.8,43.0,22618,0
baseline,result_500.json,FG-DSCR,c099,default,edge-4,90,8925.8,0.0,8925.8,8971.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c429,default,edge-4,91,8971.8,0.0,8971.8,9017.8,46.0,16118,0
baseline,result_500.json,FG-DSCR,c278,default,edge-4,92,9017.8,0.0,9017.8,9060.8,43.0,22618,0
