base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_gain_pct,p95_gain_pct,registry_reduction_pct,p2p_offload_pct
1000,500,0.5,30.0,dragonfly_style,20,22.67447437841488,17.91133545212468,15.362947505467867,15.388598603843157
1000,500,0.5,30.0,ilrsa_style,20,-32.63568366752634,-5.951042857744526,0.0,0.0
1000,500,0.5,30.0,metapipe_reactive_style,20,33.09947517962024,19.37890939128489,16.33332217960145,16.33927894580033
1000,500,0.5,30.0,peersync_style,20,26.93052086704719,23.126715595427566,21.02579858185369,21.024711364158986
1000,500,0.5,100.0,dragonfly_style,20,21.50809931042155,13.481065031566908,15.050237422392847,15.057846929493719
1000,500,0.5,100.0,ilrsa_style,20,-32.714807219407746,-6.75596886569728,0.0,0.0
1000,500,0.5,100.0,metapipe_reactive_style,20,32.26738170743799,14.79003411904106,16.030346262536547,16.070278839642068
1000,500,0.5,100.0,peersync_style,20,25.90005101532188,17.993413638155562,20.747462272501892,20.72764981813467
1000,500,1.0,10.0,dragonfly_style,20,40.32143908608535,47.47962584920116,46.72357929544788,46.52466666377278
1000,500,1.0,10.0,ilrsa_style,20,-30.18647017412677,-7.643658889237511,0.0,0.0
1000,500,1.0,10.0,metapipe_reactive_style,20,43.55699709675928,47.91630529150243,48.054281447505275,47.82949934096226
1000,500,1.0,10.0,peersync_style,20,43.785593561877775,54.13844484141268,55.54314781727513,55.433819733894126
1000,500,1.0,30.0,dragonfly_style,20,38.94207700751417,46.894151519015324,47.01992053121416,46.843503145612395
1000,500,1.0,30.0,ilrsa_style,20,-30.186470174126697,-7.643658889237471,0.0,0.0
1000,500,1.0,30.0,metapipe_reactive_style,20,42.530022261724,44.534049677179084,48.57129523453958,48.38656860066117
1000,500,1.0,30.0,peersync_style,20,42.440536938067666,51.49248395819463,55.66015093735832,55.58969719662169
1000,500,1.0,100.0,dragonfly_style,20,33.63074872198064,36.475752093914735,47.54760126936719,47.389499997896664
1000,500,1.0,100.0,ilrsa_style,20,-30.324324227024928,-8.765863443679205,0.0,0.0
1000,500,1.0,100.0,metapipe_reactive_style,20,39.927967884149524,35.76736731680485,48.10161604309448,47.930796194761086
1000,500,1.0,100.0,peersync_style,20,36.49338765614903,39.271019391218836,55.19580522147258,55.13791577464085
1000,500,2.0,10.0,dragonfly_style,20,61.88777092077252,64.91975228588254,64.57527253967606,64.0385963175303
1000,500,2.0,10.0,ilrsa_style,20,-35.0132017313054,-12.258985569552495,0.0,0.0
1000,500,2.0,10.0,metapipe_reactive_style,20,63.573880931742714,64.00798927128453,65.50455477266866,64.73958683387008
1000,500,2.0,10.0,peersync_style,20,66.05730086243489,69.41598824843479,71.92467994406658,70.90039679152437
1000,500,2.0,30.0,dragonfly_style,20,60.75102718810853,64.44627900113396,65.19366268887711,64.57502222186295
1000,500,2.0,30.0,ilrsa_style,20,-35.01320173130542,-12.258985569552458,0.0,0.0
1000,500,2.0,30.0,metapipe_reactive_style,20,62.59044151161476,63.329552436771266,66.30011268141028,65.45202455517597
1000,500,2.0,30.0,peersync_style,20,64.29017957012601,68.43685684366322,71.92467994406658,70.90039679152437
1000,500,2.0,100.0,dragonfly_style,20,52.91405971375364,55.66219504186389,64.52368346026962,63.953256370694696
1000,500,2.0,100.0,ilrsa_style,20,-35.38880965563849,-12.880397898567741,0.0,0.0
1000,500,2.0,100.0,metapipe_reactive_style,20,57.08637696614211,56.49945434387547,63.79600591916805,63.05371083708276
1000,500,2.0,100.0,peersync_style,20,54.63404706846139,57.89722237951767,71.92467994406658,70.90039679152437
