case,num_nodes,num_domains,seed,wan_mb_s,baseline,warmup_requests,target_requests,accepted,excluded,mean_ready_s,p95_ready_s,makespan_s,registry_mb,peer_mb,same_domain_peer_mb,cross_domain_peer_mb,p2p_offload_pct,peak_link_utilization,p95_link_utilization,wan_busy_time_s,evicted_mb,refused_cache_mb,algorithm_runtime_ms
cider_nodes20_domains4_req1000,20,4,4,10.0,dragonfly_style,500,500,307,193,159.51144492216946,410.7355278750003,410.7355278750003,3220.0,17870.0,4617.0,13253.0,84.73210052157421,1.0,0.16666666666666663,322.0000000000003,17304.0,0.0,707.1943283081055
cider_nodes20_domains4_req1000,20,4,4,10.0,peersync_style,500,500,307,193,144.74987130930896,379.83552787499997,379.83552787499997,2911.0,18179.0,5047.0,13132.0,86.19724988146041,1.0,0.1989930949396056,291.1,17729.0,0.0,1866.402082145214
cider_nodes20_domains4_req1000,20,4,4,10.0,metapipe_reactive_style,500,500,307,193,162.5450900800185,404.0329999999999,404.0329999999999,3153.0,17937.0,5502.0,12435.0,85.049786628734,1.0,0.1989930949396056,315.2999999999999,16971.0,0.0,676.1820390820503
cider_nodes20_domains4_req1000,20,4,4,10.0,ilrsa_style,500,500,307,193,911.1574903410562,2063.3272074648394,2109.7124999999933,21090.0,0.0,0.0,0.0,0.0,1.0,0.011926627388307135,2108.999999999996,22082.0,0.0,432.2341978549957
cider_nodes20_domains4_req1000,20,4,4,30.0,registry,500,500,307,193,242.60038049297125,634.9734328205053,703.0285000000002,21090.0,0.0,0.0,0.0,0.0,1.0,0.0357798821649214,703.0000000000002,17431.0,0.0,449.33686405420303
cider_nodes20_domains4_req1000,20,4,4,30.0,dragonfly_style,500,500,307,193,69.34895697329316,200.83552787499994,200.83552787499994,3363.0,17727.0,4611.0,13116.0,84.05405405405405,1.0,0.40078346153846156,112.09999999999991,17456.0,0.0,759.5915570855141
cider_nodes20_domains4_req1000,20,4,4,30.0,peersync_style,500,500,307,193,63.36108852662854,185.76886120833336,185.7688612083334,2911.0,18179.0,5047.0,13132.0,86.19724988146041,1.0,0.5,97.0333333333334,18076.0,0.0,1918.9234972000122
cider_nodes20_domains4_req1000,20,4,4,30.0,metapipe_reactive_style,500,500,307,193,68.17942861171511,195.49476885987184,195.49476885987184,3357.0,17733.0,5542.0,12191.0,84.08250355618776,1.0,0.41157939393939397,111.9,17290.0,0.0,697.1741914749146
cider_nodes20_domains4_req1000,20,4,4,30.0,ilrsa_style,500,500,307,193,303.7893715559811,688.0173768311563,703.7125000000009,21090.0,0.0,0.0,0.0,0.0,1.0,0.0357798821649214,703.0000000000008,22082.0,0.0,432.25280195474625
cider_nodes20_domains4_req1000,20,4,4,100.0,registry,500,500,307,193,72.76085706935126,190.3797880978193,211.64674118427172,21090.0,0.0,0.0,0.0,0.0,1.0,0.11926627388307134,211.6182411842717,17431.0,0.0,449.2364227771759
cider_nodes20_domains4_req1000,20,4,4,100.0,dragonfly_style,500,500,307,193,36.397361738854386,121.54133343824694,121.54133343824694,3394.0,17696.0,4644.0,13052.0,83.90706495969654,1.0,0.5989,38.19782331823944,17696.0,0.0,786.1047610640526
cider_nodes20_domains4_req1000,20,4,4,100.0,peersync_style,500,500,307,193,35.3378091998287,119.09422739458091,119.0942273945809,2911.0,18179.0,5327.0,12852.0,86.19724988146041,1.0,0.6480450000000001,32.02722420394388,17909.0,0.0,1927.989162504673
cider_nodes20_domains4_req1000,20,4,4,100.0,metapipe_reactive_style,500,500,307,193,36.25769009667592,121.76359135167348,121.76359135167348,3480.0,17610.0,5790.0,11820.0,83.49928876244665,1.0,0.5989,36.3867442987431,17353.0,0.0,720.8047434687614
cider_nodes20_domains4_req1000,20,4,4,100.0,ilrsa_style,500,500,307,193,91.23037485791232,206.65384898430986,212.32984482328078,21090.0,0.0,0.0,0.0,0.0,1.0,0.11926627388307134,211.62929821533467,22082.0,0.0,431.0610741376877
cider_nodes20_domains4_req1000,20,4,5,10.0,registry,500,500,308,192,699.2178542646024,1943.3759765625125,2288.628500000002,22886.0,0.0,0.0,0.0,0.0,1.0,0.011111111111111112,2288.6000000000017,20212.0,0.0,529.1695594787598
cider_nodes20_domains4_req1000,20,4,5,10.0,dragonfly_style,500,500,308,192,161.4920918061848,469.5029999999998,469.5029999999998,4232.0,18654.0,5798.0,12856.0,81.50834571353666,1.0,0.15489971018264226,423.19999999999953,19229.0,218.0,828.7416845560074
cider_nodes20_domains4_req1000,20,4,5,10.0,peersync_style,500,500,308,192,116.97047896711476,373.80300000000045,373.80300000000045,2762.0,20124.0,5862.0,14262.0,87.9314864982959,1.0,0.25,276.2000000000001,19649.0,218.0,2400.877930223942
cider_nodes20_domains4_req1000,20,4,5,10.0,metapipe_reactive_style,500,500,308,192,153.31765414425794,465.403,465.403,4186.0,18700.0,5482.0,13218.0,81.70934195578083,1.0,0.16666666666666663,418.6,19697.0,218.0,826.1997327208519
cider_nodes20_domains4_req1000,20,4,5,10.0,ilrsa_style,500,500,308,192,1090.7538349668907,2268.561397413007,2288.9420000000055,22886.0,0.0,0.0,0.0,0.0,1.0,0.011111111111111112,2288.6000000000067,24207.0,0.0,523.6686915159225
cider_nodes20_domains4_req1000,20,4,5,30.0,registry,500,500,308,192,233.0502080507017,647.7791432291793,762.8951666666665,22886.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,762.8666666666664,20212.0,0.0,515.7512649893761
cider_nodes20_domains4_req1000,20,4,5,30.0,dragonfly_style,500,500,308,192,62.31675668195934,214.98830303030297,215.8494713621649,4052.0,18834.0,5795.0,13039.0,82.29485274840513,1.0,0.4061002564102564,135.0666666666667,19240.0,218.0,840.7081365585327
cider_nodes20_domains4_req1000,20,4,5,30.0,peersync_style,500,500,308,192,50.824736046341016,189.12163636363633,189.98280469549826,2762.0,20124.0,5862.0,14262.0,87.9314864982959,1.0,0.5000000000000001,92.06666666666672,19309.0,218.0,2365.7631129026413
cider_nodes20_domains4_req1000,20,4,5,30.0,metapipe_reactive_style,500,500,308,192,61.237208603156944,211.3330000000001,225.25321301737964,4186.0,18700.0,5832.0,12868.0,81.70934195578083,1.0,0.39192,139.53333333333345,19632.0,218.0,837.5312387943268
cider_nodes20_domains4_req1000,20,4,5,30.0,ilrsa_style,500,500,308,192,363.66186658217515,757.0261103923758,763.2073528688875,22886.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,762.866666666667,24207.0,0.0,525.4062414169312
cider_nodes20_domains4_req1000,20,4,5,100.0,registry,500,500,308,192,69.89303236852945,194.31845655478395,229.43121806324314,22886.0,0.0,0.0,0.0,0.0,1.0,0.11111111111111112,229.40271806324313,20212.0,0.0,537.4017283320427
cider_nodes20_domains4_req1000,20,4,5,100.0,dragonfly_style,500,500,308,192,30.491057417248776,131.56232903142865,133.59731133147562,3903.0,18983.0,5147.0,13836.0,82.94590579393515,1.0,0.5499999999999999,39.75401084935394,19090.0,218.0,883.9759677648544
cider_nodes20_domains4_req1000,20,4,5,100.0,peersync_style,500,500,308,192,27.892008764294683,124.2523290314287,126.28731133147568,2762.0,20124.0,5767.0,14357.0,87.9314864982959,1.0,0.631105,27.94435106753258,19242.0,218.0,2296.2802052497864
cider_nodes20_domains4_req1000,20,4,5,100.0,metapipe_reactive_style,500,500,308,192,30.059379089771348,124.79799081342605,138.74070383080561,3984.0,18902.0,6705.0,12197.0,82.59197762824434,1.0,0.5499999999999999,40.564650595247365,19675.0,218.0,832.8508883714676
cider_nodes20_domains4_req1000,20,4,5,100.0,ilrsa_style,500,500,308,192,109.19008023881229,227.93325993109863,229.6989935250172,22886.0,0.0,0.0,0.0,0.0,1.0,0.11111111111111112,229.37544234499182,24207.0,0.0,523.5334485769272
cider_nodes30_domains5_req1000,30,5,1,10.0,registry,500,500,389,111,728.4815197410259,2505.959439251096,2771.2284999999974,27712.0,0.0,0.0,0.0,0.0,1.0,0.008333333333333333,2771.1999999999975,20253.0,0.0,1029.0168821811676
cider_nodes30_domains5_req1000,30,5,1,10.0,dragonfly_style,500,500,389,111,66.35975632791484,284.73869533518933,351.9534349690572,3471.0,24241.0,13178.0,11063.0,87.47474018475751,1.0,0.26616333333333336,347.1000000000006,21452.0,598.0,1382.5720697641373
cider_nodes30_domains5_req1000,30,5,1,10.0,peersync_style,500,500,389,111,57.0175948799429,225.20547116254886,242.24050000000062,2361.0,25351.0,14678.0,10673.0,91.48022517321016,1.0,0.48376444444444433,236.10000000000062,22243.0,992.0,3375.5287379026413
cider_nodes30_domains5_req1000,30,5,1,10.0,metapipe_reactive_style,500,500,389,111,67.02775020465127,340.10298441153515,436.1570000000002,4361.0,23351.0,12369.0,10982.0,84.2631351039261,1.0,0.16666666666666663,436.1000000000002,21346.0,992.0,1480.9523224830627
cider_nodes30_domains5_req1000,30,5,1,10.0,ilrsa_style,500,500,389,111,1021.9157828106362,2752.811355052413,2771.308224266866,27712.0,0.0,0.0,0.0,0.0,1.0,0.008333333333333333,2771.199999999988,25376.0,0.0,907.8658819198608
cider_nodes30_domains5_req1000,30,5,1,30.0,registry,500,500,389,111,242.8259917179571,835.2260380606198,923.7618333333321,27712.0,0.0,0.0,0.0,0.0,1.0,0.025,923.7333333333321,20253.0,0.0,954.313337802887
cider_nodes30_domains5_req1000,30,5,1,30.0,dragonfly_style,500,500,389,111,24.98487190414025,95.39658305394163,120.64376830239004,3472.0,24240.0,12849.0,11391.0,87.47113163972287,1.0,0.79866,115.7333333333335,22367.0,598.0,1360.7116341590881
cider_nodes30_domains5_req1000,30,5,1,30.0,peersync_style,500,500,389,111,21.75933128752965,85.38406511738282,93.30207603180504,2721.0,24991.0,14678.0,10313.0,90.18114896073904,1.0,0.9398849580811308,90.69999999999987,22840.0,1192.0,3495.3170716762543
cider_nodes30_domains5_req1000,30,5,1,30.0,metapipe_reactive_style,500,500,389,111,23.714892310731006,106.97566882229427,133.80314488589937,3808.0,23904.0,12363.0,11541.0,86.25866050808314,1.0,0.7565149999999999,126.93333333333344,22098.0,1654.0,1787.8968864679337
cider_nodes30_domains5_req1000,30,5,1,30.0,ilrsa_style,500,500,389,111,340.7157605439386,917.655219072881,923.9488896014923,27712.0,0.0,0.0,0.0,0.0,1.0,0.025,923.7333333333347,25376.0,0.0,1047.251135110855
cider_nodes30_domains5_req1000,30,5,1,100.0,registry,500,500,389,111,72.8466005285833,250.46841207646418,277.15047232627654,27712.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,277.12197232627653,20253.0,0.0,1083.8650688529015
cider_nodes30_domains5_req1000,30,5,1,100.0,dragonfly_style,500,500,389,111,10.7048808651135,36.81931442342426,43.03657802007309,2955.0,24757.0,11590.0,13167.0,89.33674942263279,1.0,1.0,33.7450917354113,21179.0,1714.0,1821.3264718651772
cider_nodes30_domains5_req1000,30,5,1,100.0,peersync_style,500,500,389,111,9.528332287582522,32.05020008137059,38.90841530885012,2330.0,25382.0,15750.0,9632.0,91.59209006928407,1.0,1.0,25.044943092569614,21313.0,2658.0,3562.853179872036
