base_requests,target_requests,cache_scale,wan_mb_s,baseline,num_seeds,mean_ready_s_mean,mean_ready_s_ci95,p95_ready_s_mean,p95_ready_s_ci95,makespan_s_mean,makespan_s_ci95,registry_mb_mean,registry_mb_ci95,peer_mb_mean,peer_mb_ci95,p2p_offload_pct_mean,p2p_offload_pct_ci95,runtime_ms_mean,runtime_ms_ci95
500,250,2.0,10.0,peersync_style,20,46.95347618171916,8.646301388259175,222.46796094576715,27.348134286482175,242.09210489417984,23.530638805412433,2386.9,241.81780687215408,4134.8,744.5759206723982,61.223236393438434,6.687606567262481,124.18198399245739,13.455403159380008
500,250,2.0,10.0,registry,20,126.32319212738999,19.050361044925904,563.3050000000001,62.565962297536515,652.1700000000002,66.9272409976855,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,62.73527666926384,5.43181369340576
500,250,2.0,30.0,dragonfly_style,20,17.081137111982216,2.8292761979074945,79.74328099041008,10.12101820925336,92.61353422123018,8.929999700106597,2657.1,278.7322798658154,3864.6,723.9653481222143,57.132412453452,6.968348684900348,71.54701203107834,6.794776584719602
500,250,2.0,30.0,ilrsa_style,20,54.42169406315172,8.491470529633446,212.39499999999967,22.63172025674389,217.38999999999976,22.30908033256189,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,107.94816985726357,14.471624355954487
500,250,2.0,30.0,metapipe_reactive_style,20,16.29307694655566,2.5333416832502924,80.77964224890177,9.4724471353101,94.93658231412404,10.15313734690154,2689.35,331.67574637949025,3832.35,674.3671586361911,57.046049818253124,6.828603410590087,89.34715464711189,8.182288204762562
500,250,2.0,30.0,peersync_style,20,16.31422000625345,2.763793813294,74.93154690711808,9.344792259264967,84.45119440476192,7.5097425786850796,2386.9,241.81780687215408,4134.8,744.5759206723982,61.223236393438434,6.687606567262481,126.3290461152792,13.336707907872437
500,250,2.0,30.0,registry,20,42.107730709129974,6.350120348308612,187.76833333333323,20.85532076584543,217.38999999999987,22.309080332561773,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,61.8941854685545,5.537631084952818
500,250,2.0,100.0,dragonfly_style,20,5.948610372701085,0.694002266613173,26.863229823826046,2.5048110448085303,35.1326078922134,2.5861789817982217,2658.3,287.8959390302419,3863.4,729.9717874380834,57.07616098430098,7.089813062005156,72.30867557227612,6.952490056174766
500,250,2.0,100.0,ilrsa_style,20,16.38697945554313,2.5485178013606298,64.35725000000005,6.879223048672222,66.39937500000008,6.777894207624012,6521.7,669.2724099768537,0.0,0.0,0.0,0.0,107.99636989831924,14.516934947863826
500,250,2.0,100.0,metapipe_reactive_style,20,5.40199293496195,0.7044349619921021,26.526228792126396,2.773162501499303,35.66388542654635,2.884552080794588,2686.65,308.28073332110336,3835.05,691.6967016075276,56.93440979983729,6.787597602498007,91.61970168352127,8.909640084883256
500,250,2.0,100.0,peersync_style,20,5.793943229540654,0.675998043155678,25.811334025573178,2.2358562241097495,34.16767243638888,2.6483007566519823,2386.9,241.81780687215408,4134.8,744.5759206723982,61.223236393438434,6.687606567262481,125.62321312725544,12.644312595861527
